from_stop_id,to_stop_id,transfer_type,min_transfer_time
KJ9,PY20,0,180
AG6,SP6,0,180
KG18A,MR6,0,180
AG11,SP11,0,180
AG11,PY24,0,180
SP11,PY24,0,180
AG9,SP9,0,180
AG9,MR4,0,180
SP9,MR4,0,180
KJ15,MR1,0,180
KG04,PY01,0,180
AG13,KG22,0,180
AG7,KJ13,0,180
AG7,SP7,0,180
KJ13,SP7,0,180
KJ14,KG16,0,180
AG8,SP8,0,180
AG10,SP10,0,180
KJ37,SP31,0,180
AG4,SP4,0,180
AG2,SP2,0,180
AG1,SP1,0,180
AG5,SP5,0,180
SP16,PY29,0,180
AG3,SP3,0,180
AG3,PY17,0,180
AG3,MR11,0,180
SP3,PY17,0,180
SP3,MR11,0,180
PY17,MR11,0,180
KG20,PY23,0,180
KG16,KJ14,0,180
KG22,AG13,0,180
AG8,KG17,0,120
AG9,MR4,0,180
PY29,PY28,0,120
PY20,KJ9,0,180
KG04,PY01,0,180
KJ31,BRT7,0,120
KJ26,BRT1,0,180
AG1,SP1,0,120
KG15,KJ15,0,300
MR11,AG3,0,180
MR9,AG5,0,180
MR11,PY17,0,180
MR11,KJ3,0,180
AG3,PY17,0,180
AG3,KJ3,0,180
PY17,KJ3,0,180
